,translator1,translator2,translator3,translator4
af,76.76986445142002,90.14196348687456,81.49480654149953,65.14309950878871
nr,22.113736385159584,19.165151808467147,21.871423632239786,22.35134527313277
zu,22.96955748977736,24.008443038541625,22.24369679199224,18.558022495221945
xh,16.735573782049986,18.122392502174005,23.088689076859463,22.146621328265475
nso,50.57937976517921,51.75906712120162,45.535949766277234,48.261841261729614
st,46.39578725493173,48.254967330446995,46.312425247955105,43.973315920712416
tn,40.419208298558914,38.36703165123607,32.81677424635642,34.0034136534262
ss,18.637086403576554,19.293960036035507,21.43036280170606,20.405209309951854
ve,55.00252363149837,52.34390171414796,54.54991728619326,52.64306298531793
ts,44.12282409153792,41.4699047772905,30.7252519299957,44.98208059013035
